Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
130,"G Destefanis, M Marchesi, M Ortu…","Smart contracts vulnerabilities: a call for blockchain software engineering?",2018,"… Engineering …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8327567/","https://scholar.google.com/scholar?cites=5719027983636394018&as_sdt=2005&sciodt=2007&hl=en",35,"2021-04-18 19:41:16","","","","",,,,,130,43.33,33,4,3,"Smart Contracts have gained tremendous popularity in the past few years, to the point that billions of US Dollars are currently exchanged every day through such technology. However, since the release of the Frontier network of Ethereum in 2015, there have been many cases …"
21,"C Sadowski, T Zimmermann","Rethinking productivity in software engineering",2019,"","library.oapen.org","https://library.oapen.org/handle/20.500.12657/22839","https://scholar.google.com/scholar?cites=6099338681405696971&as_sdt=2005&sciodt=2007&hl=en",36,"2021-04-18 19:41:16","BOOK","","","",,,,,21,10.50,11,2,2,"Get the most out of this foundational reference and improve the productivity of your software teams. This open access book collects the wisdom of the 2017"" Dagstuhl"" seminar on productivity in software engineering, a meeting of community leaders, who came together …"
20,"B Unhelkar","Software engineering with uml",2017,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=LQZDDwAAQBAJ&oi=fnd&pg=PT24&dq=software+engineering&ots=Zi9VlU7KZd&sig=5DUAnSkDhvIpGSALJ7HBgFoTgY4","https://scholar.google.com/scholar?cites=16419789411387246451&as_sdt=2005&sciodt=2007&hl=en",37,"2021-04-18 19:41:16","BOOK","","","",,,,,20,5.00,20,1,4,"This book presents the analysis, design, documentation, and quality of software solutions based on the OMG UML v2. 5. Notably it covers 14 different modelling constructs including use case diagrams, activity diagrams, business-level class diagrams, corresponding …"
62,"F Zambonelli","Key abstractions for IoT-oriented software engineering",2017,"IEEE Software","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7819396/","https://scholar.google.com/scholar?cites=6966676075839744924&as_sdt=2005&sciodt=2007&hl=en",38,"2021-04-18 19:41:16","","","","",,,,,62,15.50,62,1,4,"Despite the progress in Internet of Things (IoT) research, a general software engineering approach for systematic development of IoT systems and applications is still missing. A synthesis of the state of the art in the area can help frame the key abstractions related to …"
19,"H Washizaki, H Uchida, F Khomh…","Studying software engineering patterns for designing machine learning systems",2019,"… Software Engineering …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8945075/","https://scholar.google.com/scholar?cites=6342503486237192815&as_sdt=2005&sciodt=2007&hl=en",39,"2021-04-18 19:41:16","","","","",,,,,19,9.50,5,4,2,"Machine-learning (ML) techniques are becoming more prevalent. ML techniques rely on mathematics and software engineering. Researchers and practitioners studying best practices strive to design ML systems and software that address software complexity and …"
12,"Z Sharafi, B Sharif, YG Guéhéneuc, A Begel…","A practical guide on conducting eye tracking studies in software engineering",2020,"… Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-020-09829-4","https://scholar.google.com/scholar?cites=16051661804440525446&as_sdt=2005&sciodt=2007&hl=en",40,"2021-04-18 19:41:16","","","","",,,,,12,12.00,2,5,1,"For several years, the software engineering research community used eye trackers to study program comprehension, bug localization, pair programming, and other software engineering tasks. Eye trackers provide researchers with insights on software engineers' …"
11,"M Staron","Action Research in Software Engineering",2020,"","Springer","https://link.springer.com/content/pdf/10.1007/978-3-030-32610-4.pdf","https://scholar.google.com/scholar?cites=16000204140790615546&as_sdt=2005&sciodt=2007&hl=en",41,"2021-04-18 19:41:16","BOOK","","","",,,,,11,11.00,11,1,1,"Every scientist has his and her own favorite research topics, types of studies, and research methodology. It's natural, and it's something that is very important for all kinds of researchers. I see it as a part of academic freedom. For me, the favorite research methodology is action …"
30,"AN Ghazi, K Petersen, SSVR Reddy, H Nekkanti","Survey research in software engineering: Problems and mitigation strategies",2018,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8533319/","https://scholar.google.com/scholar?cites=15235629582378186719&as_sdt=2005&sciodt=2007&hl=en",42,"2021-04-18 19:41:16","","","","",,,,,30,10.00,8,4,3,"Background: The need for empirical investigations in software engineering is growing. Many researchers nowadays, conduct and validate their solutions using empirical research. The Survey is an empirical method which enables researchers to collect data from a large …"
25,"E Winter, S Forshaw, MA Ferrario","Measuring human values in software engineering",2018,"… on Empirical Software Engineering …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3239235.3267427","https://scholar.google.com/scholar?cites=5475093738650344194&as_sdt=2005&sciodt=2007&hl=en",43,"2021-04-18 19:41:16","","","","",,,,,25,8.33,8,3,3,"Background: Human values, such as prestige, social justice, and financial success, influence software production decision-making processes. While their subjectivity makes some values difficult to measure, their impact on software motivates our research. Aim: To …"
36,"V Garousi, G Giray, E Tuzun, C Catal…","Closing the gap between software engineering education and industrial needs",2019,"IEEE Software","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8664487/","https://scholar.google.com/scholar?cites=1106036066154396192&as_sdt=2005&sciodt=2007&hl=en",44,"2021-04-18 19:41:16","","","","",,,,,36,18.00,7,5,2,"Many recent software engineering graduates often face difficulties when beginning their professional careers, due to misalignment of the skills learned in their university education with what is needed in industry. In this article, we report a literature review of the studies that …"
39,"N Alshahwan, X Gao, M Harman, Y Jia, K Mao…","Deploying search based software engineering with Sapienz at Facebook",2018,"… Software Engineering","Springer","https://link.springer.com/chapter/10.1007/978-3-319-99241-9_1","https://scholar.google.com/scholar?cites=6513715295229843952&as_sdt=2005&sciodt=2007&hl=en",45,"2021-04-18 19:41:16","HTML","","","",,,,,39,13.00,7,6,3,"We describe the deployment of the Sapienz Search Based Software Engineering (SBSE) testing system. Sapienz has been deployed in production at Facebook since September 2017 to design test cases, localise and triage crashes to developers and to monitor their …"
19,"Y Yang, D Falessi, T Menzies, J Hihn","Actionable analytics for software engineering",2017,"IEEE Software","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8239931/","https://scholar.google.com/scholar?cites=10869265580869900738&as_sdt=2005&sciodt=2007&hl=en",46,"2021-04-18 19:41:16","","","","",,,,,19,4.75,5,4,4,"Although intensive research on software analytics has been going on for nearly a decade, a repeated complaint in software analytics is that industrial practitioners find it hard to apply the results generated from data science. This theme issue aims to reflect on actionable …"
72,"RA Maurício, L Veado, RT Moreira, E Figueiredo…","A systematic mapping study on game-related methods for software engineering education",2018,"Information and software …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950584917303518","https://scholar.google.com/scholar?cites=1857286907707008172&as_sdt=2005&sciodt=2007&hl=en",47,"2021-04-18 19:41:16","","","","",,,,,72,24.00,14,5,3,"Context The use of games in software engineering education is not new. However, recent technologies have provided new opportunities for using games and their elements to enhance learning and student engagement. Objective The goal of this paper is twofold. First …"
27,"A García-Holgado, FJ García-Peñalvo…","Pilot experience applying an active learning methodology in a Software Engineering classroom",2018,"… Global Engineering …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8363331/","https://scholar.google.com/scholar?cites=7934284923787735941&as_sdt=2005&sciodt=2007&hl=en",48,"2021-04-18 19:41:16","","","","",,,,,27,9.00,9,3,3,"Software Engineering I is a mandatory subject for undergraduate students that is taught in the second semester of the 2nd year of the Degree in Computer Sciences at the University of Salamanca (Spain). This degree exists since 1989 but it has transformed over time …"
16,"VS Sharma, R Mehra, V Kaulgud…","An immersive future for software engineering: Avenues and approaches",2018,"… on Software Engineering …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3183399.3183414","https://scholar.google.com/scholar?cites=17139618889921429453&as_sdt=2005&sciodt=2007&hl=en",49,"2021-04-18 19:41:16","","","","",,,,,16,5.33,4,4,3,"Software systems are increasingly becoming more intricate and complex, necessitating new ways to be able to comprehend and visualize them. At the same time, the nature of software engineering teams itself is changing with people playing more fluid roles often needing …"
11,"N Wolfram, P Lago, F Osborne","Sustainability in software engineering",2017,"2017 Sustainable Internet and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8379798/","https://scholar.google.com/scholar?cites=18246896674635715265&as_sdt=2005&sciodt=2007&hl=en",50,"2021-04-18 19:41:16","","","","",,,,,11,2.75,4,3,4,"The intersection between software engineering research and the problems related to sustainability and green IT has been the subject of increasing attention. In spite of that, we observe that sustainability is still not clearly defined, or understood, in the field of software …"
